"Downloaded on",04/07/2021,"10:50:53 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22comreports%22%2C%22congress%22%3A%22116%22%7D&pageSort=numberAsc

"Report Number",URL,Congress,Accompanies,Title,Committee
"H. Rept. 116-221",https://www.congress.gov/congressional-report/116th-congress/house-report/221/1,"116th Congress (2019-2020)","H.R. 3362","SMALL AIRPORT MOTHERS' ROOMS ACT OF 2019","House Transportation and Infrastructure"
"H. Rept. 116-222",https://www.congress.gov/congressional-report/116th-congress/house-report/222/1,"116th Congress (2019-2020)","H.R. 1373","GRAND CANYON CENTENNIAL PROTECTION ACT","House Natural Resources"
"H. Rept. 116-223",https://www.congress.gov/congressional-report/116th-congress/house-report/223/1,"116th Congress (2019-2020)","H.R. 2156","REVITALIZING THE ECONOMY OF COAL COMMUNITIES BY LEVERAGING LOCAL ACTIVITIES AND INVESTING MORE ACT OF 2019","House Natural Resources"
"H. Rept. 116-224",https://www.congress.gov/congressional-report/116th-congress/house-report/224/1,"116th Congress (2019-2020)","H.R. 2181","CHACO CULTURAL HERITAGE AREA PROTECTION ACT OF 2019","House Natural Resources"
"H. Rept. 116-225",https://www.congress.gov/congressional-report/116th-congress/house-report/225/1,"116th Congress (2019-2020)","H.R. 3405","URANIUM CLASSIFICATION ACT OF 2019","House Natural Resources"
"H. Rept. 116-226",https://www.congress.gov/congressional-report/116th-congress/house-report/226/1,"116th Congress (2019-2020)","H.R. 823","COLORADO OUTDOOR RECREATION AND ECONOMY ACT","House Natural Resources"
"H. Rept. 116-227",https://www.congress.gov/congressional-report/116th-congress/house-report/227/1,"116th Congress (2019-2020)","H.R. 2513","CORPORATE TRANSPARENCY ACT OF 2019","House Financial Services"
"H. Rept. 116-228",https://www.congress.gov/congressional-report/116th-congress/house-report/228/1,"116th Congress (2019-2020)","H.R. 263","TO RENAME THE OYSTER BAY NATIONAL WILDLIFE REFUGE AS THE CONGRESSMAN LESTER WOLFF OYSTER BAY NATIONAL WILDLIFE REFUGE","House Natural Resources"
"H. Rept. 116-229",https://www.congress.gov/congressional-report/116th-congress/house-report/229/1,"116th Congress (2019-2020)","H.R. 473","TO AUTHORIZE THE EVERY WORD WE UTTER MONUMENT TO ESTABLISH A COMMEMORATIVE WORK IN THE DISTRICT OF COLUMBIA AND ITS ENVIRONS, AND FOR OTHER PURPOSES","House Natural Resources"
"H. Rept. 116-230",https://www.congress.gov/congressional-report/116th-congress/house-report/230/1,"116th Congress (2019-2020)","H.R. 1014","OFFSHORE WIND FOR TERRITORIES ACT","House Natural Resources"
"H. Rept. 116-231",https://www.congress.gov/congressional-report/116th-congress/house-report/231/1,"116th Congress (2019-2020)","H.R. 1314","INTEGRATED COASTAL AND OCEAN OBSERVATION SYSTEM ACT AMENDMENTS OF 2019","House Natural Resources"
"H. Rept. 116-232",https://www.congress.gov/congressional-report/116th-congress/house-report/232/1,"116th Congress (2019-2020)","H.R. 2490","TO AMEND THE NATIONAL TRAILS SYSTEM ACT TO DIRECT THE SECRETARY OF THE INTERIOR TO CONDUCT A STUDY ON THE FEASIBILITY OF DESIGNATING THE CHIEF STANDING BEAR NATIONAL HISTORIC TRAIL, AND FOR OTHER PURPOSES","House Natural Resources"
"H. Rept. 116-233",https://www.congress.gov/congressional-report/116th-congress/house-report/233/1,"116th Congress (2019-2020)","H.R. 3734","SUCCESSFUL ENTREPRENEURSHIP FOR RESERVISTS AND VETERANS ACT","House Small Business"
"H. Rept. 116-234",https://www.congress.gov/congressional-report/116th-congress/house-report/234/1,"116th Congress (2019-2020)","H.R. 3661","PATRIOTIC EMPLOYER PROTECTION ACT OF 2019","House Small Business"
"H. Rept. 116-235",https://www.congress.gov/congressional-report/116th-congress/house-report/235/1,"116th Congress (2019-2020)","H.R. 499","SERVICE-DISABLED VETERANS SMALL BUSINESS CONTINUATION ACT","House Small Business"
"H. Rept. 116-236",https://www.congress.gov/congressional-report/116th-congress/house-report/236/1,"116th Congress (2019-2020)","H.R. 3537","VETERAN ENTREPRENEURSHIP TRAINING ACT OF 2019","House Small Business"
"H. Rept. 116-237",https://www.congress.gov/congressional-report/116th-congress/house-report/237/1,"116th Congress (2019-2020)","H.Res. 629","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1815) TO REQUIRE THE SECURITIES AND EXCHANGE COMMISSION, WHEN DEVELOPING RULES AND REGULATIONS ABOUT DISCLOSURES TO RETAIL INVESTORS, TO CONDUCT INVESTOR TESTING, INCLUDING A SURVEY AND INTERVIEWS OF RETAIL INVESTORS, AND FOR OTHER PURPOSES, AND PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 3624) TO AMEND THE SECURITIES EXCHANGE ACT OF 1934 TO REQUIRE THE DISCLOSURE OF THE TOTAL NUMBER OF DOMESTIC AND FOREIGN EMPLOYEES OF CERTAIN PUBLIC COMPANIES, AND FOR OTHER PURPOSES","House Rules"
"H. Rept. 116-238",https://www.congress.gov/congressional-report/116th-congress/house-report/238/1,"116th Congress (2019-2020)","H.R. 4387","TO ESTABLISH GROWTH ACCELERATOR FUND COMPETITION WITHIN THE SMALL BUSINESS ADMINISTRATION, AND FOR OTHER PURPOSES","House Small Business"
"H. Rept. 116-239",https://www.congress.gov/congressional-report/116th-congress/house-report/239/1,"116th Congress (2019-2020)","H.R. 4405","WOMEN'S BUSINESS CENTERS IMPROVEMENTS ACT OF 2019","House Small Business"
"H. Rept. 116-240",https://www.congress.gov/congressional-report/116th-congress/house-report/240/1,"116th Congress (2019-2020)","H.R. 4406","SMALL BUSINESS DEVELOPMENT CENTERS IMPROVEMENT ACT OF 2019","House Small Business"
"H. Rept. 116-241",https://www.congress.gov/congressional-report/116th-congress/house-report/241/1,"116th Congress (2019-2020)","H.R. 4407","SCORE FOR SMALL BUSINESS ACT OF 2019","House Small Business"
"H. Rept. 116-242",https://www.congress.gov/congressional-report/116th-congress/house-report/242/1,"116th Congress (2019-2020)","H.Res. 326","EXPRESSING THE SENSE OF THE HOUSE OF REPRESENTATIVES REGARDING UNITED STATES EFFORTS TO RESOLVE THE ISRAELI-PALESTINIAN CONFLICT THROUGH A NEGOTIATED TWO-STATE SOLUTION","House Foreign Affairs"
"H. Rept. 116-243",https://www.congress.gov/congressional-report/116th-congress/house-report/243/1,"116th Congress (2019-2020)","H.R. 2819","GOLD STAR FAMILIES NATIONAL MONUMENT EXTENSION ACT","House Natural Resources"
"H. Rept. 116-244",https://www.congress.gov/congressional-report/116th-congress/house-report/244/1,"116th Congress (2019-2020)","H.R. 1568","SCIENTIFIC ASSISTANCE FOR VERY ENDANGERED NORTH ATLANTIC RIGHT WHALES ACT OF 2019","House Natural Resources"
"H. Rept. 116-245",https://www.congress.gov/congressional-report/116th-congress/house-report/245/1,"116th Congress (2019-2020)","H.R. 2514","COORDINATING OVERSIGHT, UPGRADING AND INNOVATING TECHNOLOGY, AND EXAMINER REFORM ACT OF 2019","House Financial Services"
"H. Rept. 116-246",https://www.congress.gov/congressional-report/116th-congress/house-report/246/1,"116th Congress (2019-2020)","H.R. 4617","STOPPING HARMFUL INTERFERENCE IN ELECTIONS FOR A LASTING DEMOCRACY ACT","Committee on House Administration"
"H. Rept. 116-247",https://www.congress.gov/congressional-report/116th-congress/house-report/247/1,"116th Congress (2019-2020)","H.Res. 646","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 2513) TO ENSURE THAT PERSONS WHO FORM CORPORATIONS OR LIMITED LIABILITY COMPANIES IN THE UNITED STATES DISCLOSE THE BENEFICIAL OWNERS OF THOSE CORPORATIONS OR LIMITED LIABILITY COMPANIES, IN ORDER TO PREVENT WRONGDOERS FROM EXPLOITING UNITED STATES CORPORATIONS AND LIMITED LIABILITY COMPANIES FOR CRIMINAL GAIN, TO ASSIST LAW ENFORCEMENT IN DETECTING, PREVENTING, AND PUNISHING TERRORISM, MONEY LAUNDERING, AND OTHER MISCONDUCT INVOLVING UNITED STATES CORPORATIONS AND LIMITED LIABILITY COMPANIES, AND FOR OTHER PURPOSES","House Rules"
"H. Rept. 116-248",https://www.congress.gov/congressional-report/116th-congress/house-report/248/1,"116th Congress (2019-2020)","H.R. 1123","DIVISIONAL REALIGNMENT FOR THE EASTERN DISTRICT OF ARKANSAS ACT OF 2019","House Judiciary"
"H. Rept. 116-249",https://www.congress.gov/congressional-report/116th-congress/house-report/249/1,"116th Congress (2019-2020)","H.R. 1305","ALBATROSS AND PETREL CONSERVATION ACT","House Natural Resources"
"H. Rept. 116-250",https://www.congress.gov/congressional-report/116th-congress/house-report/250/1,"116th Congress (2019-2020)","H.R. 1225","RESTORE OUR PARKS AND PUBLIC LANDS ACT","House Natural Resources"
"H. Rept. 116-251",https://www.congress.gov/congressional-report/116th-congress/house-report/251/1,"116th Congress (2019-2020)","H.R. 835","RODCHENKOV ANTI-DOPING ACT OF 2019","House Judiciary"
"H. Rept. 116-252",https://www.congress.gov/congressional-report/116th-congress/house-report/252/1,"116th Congress (2019-2020)","H.R. 2426","COPYRIGHT ALTERNATIVE IN SMALL-CLAIMS ENFORCEMENT ACT OF 2019","House Judiciary"
"H. Rept. 116-253",https://www.congress.gov/congressional-report/116th-congress/house-report/253/1,"116th Congress (2019-2020)","H.Res. 650","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 4617) TO AMEND THE FEDERAL ELECTION CAMPAIGN ACT OF 1971 TO CLARIFY THE OBLIGATION TO REPORT ACTS OF FOREIGN ELECTION INFLUENCE AND REQUIRE IMPLEMENTATION OF COMPLIANCE AND REPORTING SYSTEMS BY FEDERAL CAMPAIGNS TO DETECT AND REPORT SUCH ACTS, AND FOR OTHER PURPOSES","House Rules"
"H. Rept. 116-254",https://www.congress.gov/congressional-report/116th-congress/house-report/254/1,"116th Congress (2019-2020)","H.R. 359","ENHANCING GRID SECURITY THROUGH PUBLIC-PRIVATE PARTNERSHIPS ACT","House Energy and Commerce"
"H. Rept. 116-255",https://www.congress.gov/congressional-report/116th-congress/house-report/255/1,"116th Congress (2019-2020)","H.R. 362","ENERGY EMERGENCY LEADERSHIP ACT","House Energy and Commerce"
"H. Rept. 116-256",https://www.congress.gov/congressional-report/116th-congress/house-report/256/1,"116th Congress (2019-2020)","H.R. 360","CYBER SENSE ACT OF 2019","House Energy and Commerce"
"H. Rept. 116-257",https://www.congress.gov/congressional-report/116th-congress/house-report/257/1,"116th Congress (2019-2020)","H.R. 1781","PAYMENT COMMISSION DATA ACT OF 2019","House Energy and Commerce"
"H. Rept. 116-258",https://www.congress.gov/congressional-report/116th-congress/house-report/258/1,"116th Congress (2019-2020)","H.R. 4334","DIGNITY IN AGING ACT OF 2019","House Education and Labor"
"H. Rept. 116-259",https://www.congress.gov/congressional-report/116th-congress/house-report/259/1,"116th Congress (2019-2020)","H.R. 886","VETERAN TREATMENT COURT COORDINATION ACT OF 2019","House Judiciary"
"H. Rept. 116-260",https://www.congress.gov/congressional-report/116th-congress/house-report/260/1,"116th Congress (2019-2020)","H.R. 3942","PREVENTING ONLINE SALES OF E-CIGARETTES TO CHILDREN ACT","House Judiciary"
"H. Rept. 116-261",https://www.congress.gov/congressional-report/116th-congress/house-report/261/1,"116th Congress (2019-2020)","H.R. 3111","NATIONAL FLOOD INSURANCE PROGRAM ADMINISTRATIVE REFORM ACT OF 2019","House Financial Services"
"H. Rept. 116-262",https://www.congress.gov/congressional-report/116th-congress/house-report/262/1,"116th Congress (2019-2020)","H.R. 3167","NATIONAL FLOOD INSURANCE PROGRAM REAUTHORIZATION ACT OF 2019","House Financial Services"
"H. Rept. 116-263",https://www.congress.gov/congressional-report/116th-congress/house-report/263/1,"116th Congress (2019-2020)","H.Res. 655","PROVIDING FOR CONSIDERATION OF THE RESOLUTION (H. RES. 296) AFFIRMING THE UNITED STATES RECORD ON THE ARMENIAN GENOCIDE","House Rules"
"H. Rept. 116-264",https://www.congress.gov/congressional-report/116th-congress/house-report/264/1,"116th Congress (2019-2020)","H.Res. 656","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 823) TO PROVIDE FOR THE DESIGNATION OF CERTAIN WILDERNESS AREAS, RECREATION MANAGEMENT AREAS, AND CONSERVATION AREAS IN THE STATE OF COLORADO, AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1373) TO PROTECT, FOR CURRENT AND FUTURE GENERATIONS, THE WATERSHED, ECOSYSTEM, AND CULTURAL HERITAGE OF THE GRAND CANYON REGION IN THE STATE OF ARIZONA, AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 2181) TO PROVIDE FOR THE WITHDRAWAL AND PROTECTION OF CERTAIN FEDERAL LAND IN THE STATE OF NEW MEXICO; AND PROVIDING FOR PROCEEDINGS DURING THE PERIOD FROM NOVEMBER 1, 2019, THROUGH NOVEMBER 11, 2019","House Rules"
"H. Rept. 116-265",https://www.congress.gov/congressional-report/116th-congress/house-report/265/1,"116th Congress (2019-2020)","H.R. 3398","PATHWAYS TO HEALTH CAREERS ACT","House Ways and Means"
"H. Rept. 116-266",https://www.congress.gov/congressional-report/116th-congress/house-report/266/1,"116th Congress (2019-2020)","H.Res. 660","DIRECTING CERTAIN COMMITTEES TO CONTINUE THEIR ONGOING INVESTIGATIONS AS PART OF THE EXISTING HOUSE OF REPRESENTATIVES INQUIRY INTO WHETHER SUFFICIENT GROUNDS EXIST FOR THE HOUSE OF REPRESENTATIVES TO EXERCISE ITS CONSTITUTIONAL POWER TO IMPEACH DONALD JOHN TRUMP, PRESIDENT OF THE UNITED STATES OF AMERICA, AND FOR OTHER PURPOSES","House Rules"
"H. Rept. 116-267",https://www.congress.gov/congressional-report/116th-congress/house-report/267/1,"116th Congress (2019-2020)","H.R. 35","EMMETT TILL ANTILYNCHING ACT","House Judiciary"
"H. Rept. 116-268",https://www.congress.gov/congressional-report/116th-congress/house-report/268/1,"116th Congress (2019-2020)","H.R. 4355","IDENTIFYING OUTPUTS OF GENERATIVE ADVERSARIAL NETWORKS ACT","House Science, Space, and Technology"
"H. Rept. 116-269",https://www.congress.gov/congressional-report/116th-congress/house-report/269/1,"116th Congress (2019-2020)","H.R. 4372","MSI STEM ACHIEVEMENT ACT","House Science, Space, and Technology"
"H. Rept. 116-270",https://www.congress.gov/congressional-report/116th-congress/house-report/270/1,"116th Congress (2019-2020)","H.R. 4373","ENGINEERING BIOLOGY RESEARCH AND DEVELOPMENT ACT OF 2019","House Science, Space, and Technology"
"H. Rept. 116-271",https://www.congress.gov/congressional-report/116th-congress/house-report/271/1,"116th Congress (2019-2020)","H.R. 4863","UNITED STATES EXPORT FINANCE AGENCY ACT OF 2019","House Financial Services"
"H. Rept. 116-272",https://www.congress.gov/congressional-report/116th-congress/house-report/272/1,"116th Congress (2019-2020)","H.R. 182","TO EXTEND THE AUTHORIZATION FOR THE CAPE COD NATIONAL SEASHORE ADVISORY COMMISSION","House Natural Resources"
"H. Rept. 116-273",https://www.congress.gov/congressional-report/116th-congress/house-report/273/1,"116th Congress (2019-2020)","H.R. 737","SHARK FIN SALES ELIMINATION ACT OF 2019","House Natural Resources"
"H. Rept. 116-274",https://www.congress.gov/congressional-report/116th-congress/house-report/274/1,"116th Congress (2019-2020)","H.R. 1023","GREAT LAKES FISHERY RESEARCH AUTHORIZATION ACT OF 2019","House Natural Resources"
"H. Rept. 116-275",https://www.congress.gov/congressional-report/116th-congress/house-report/275/1,"116th Congress (2019-2020)","H.R. 1088","FIRST INFANTRY RECOGNITION OF SACRIFICE IN THEATER ACT","House Natural Resources"
"H. Rept. 116-276",https://www.congress.gov/congressional-report/116th-congress/house-report/276/1,"116th Congress (2019-2020)","H.R. 2427","CHESAPEAKE BAY GATEWAYS AND WATERTRAILS NETWORK REAUTHORIZATION ACT OF 2019","House Natural Resources"
"H. Rept. 116-277",https://www.congress.gov/congressional-report/116th-congress/house-report/277/1,"116th Congress (2019-2020)","H.R. 3195","LAND AND WATER CONSERVATION FUND PERMANENT FUNDING ACT","House Natural Resources"
"H. Rept. 116-278",https://www.congress.gov/congressional-report/116th-congress/house-report/278/1,"116th Congress (2019-2020)","H.R. 4258","REAUTHORIZING SECURITY FOR SUPREME COURT JUSTICES ACT OF 2019","House Judiciary"
"H. Rept. 116-279",https://www.congress.gov/congressional-report/116th-congress/house-report/279/1,"116th Congress (2019-2020)","H.R. 3699","PIPELINE SECURITY ACT","House Homeland Security"
"H. Rept. 116-280",https://www.congress.gov/congressional-report/116th-congress/house-report/280/1,"116th Congress (2019-2020)","H.R. 1615","VERIFICATION ALIGNMENT AND SERVICE-DISABLED BUSINESS ADJUSTMENT ACT","House Small Business"
"H. Rept. 116-281",https://www.congress.gov/congressional-report/116th-congress/house-report/281/1,"116th Congress (2019-2020)","H.R. 3224","DEBORAH SAMPSON ACT","House Veterans' Affairs"
"H. Rept. 116-282",https://www.congress.gov/congressional-report/116th-congress/house-report/282/1,"116th Congress (2019-2020)","H.R. 3141","FHA LOAN AFFORDABILITY ACT OF 2019","House Financial Services"
"H. Rept. 116-283",https://www.congress.gov/congressional-report/116th-congress/house-report/283/1,"116th Congress (2019-2020)","H.R. 729","TRIBAL COASTAL RESILIENCY ACT","House Natural Resources"
"H. Rept. 116-284",https://www.congress.gov/congressional-report/116th-congress/house-report/284/1,"116th Congress (2019-2020)","H.R. 925","NORTH AMERICAN WETLANDS CONSERVATION EXTENSION ACT","House Natural Resources"
"H. Rept. 116-285",https://www.congress.gov/congressional-report/116th-congress/house-report/285/1,"116th Congress (2019-2020)","H.R. 1446","MULTINATIONAL SPECIES CONSERVATION FUNDS SEMIPOSTAL STAMP REAUTHORIZATION ACT OF 2019","House Natural Resources"
"H. Rept. 116-286",https://www.congress.gov/congressional-report/116th-congress/house-report/286/1,"116th Congress (2019-2020)","H.R. 1980","SMITHSONIAN WOMEN'S HISTORY MUSEUM ACT","Committee on House Administration"
"H. Rept. 116-287",https://www.congress.gov/congressional-report/116th-congress/house-report/287/1,"116th Congress (2019-2020)","H.R. 4031","GREAT LAKES RESTORATION INITIATIVE ACT OF 2019","House Transportation and Infrastructure"
"H. Rept. 116-288",https://www.congress.gov/congressional-report/116th-congress/house-report/288/1,"116th Congress (2019-2020)","H.R. 4044","PROTECT AND RESTORE AMERICA'S ESTUARIES ACT","House Transportation and Infrastructure"
"H. Rept. 116-289",https://www.congress.gov/congressional-report/116th-congress/house-report/289/1,"116th Congress (2019-2020)","H.Res. 695","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 4863) TO PROMOTE THE COMPETITIVENESS OF THE UNITED STATES, TO REFORM AND REAUTHORIZE THE UNITED STATES EXPORT FINANCE AGENCY, AND FOR OTHER PURPOSES; AND FOR OTHER PURPOSES","House Rules"
"H. Rept. 116-290",https://www.congress.gov/congressional-report/116th-congress/house-report/290/1,"116th Congress (2019-2020)","H.R. 2247","PROMOTING UNITED GOVERNMENT EFFORTS TO SAVE OUR SOUND ACT","House Transportation and Infrastructure"
"H. Rept. 116-291",https://www.congress.gov/congressional-report/116th-congress/house-report/291/1,"116th Congress (2019-2020)","H.R. 4275","AMENDING THE FEDERAL WATER POLLUTION CONTROL ACT TO REAUTHORIZE THE LAKE PONTCHARTRAIN BASIN RESTORATION PROGRAM, AND FOR OTHER PURPOSES","House Transportation and Infrastructure"
"H. Rept. 116-292",https://www.congress.gov/congressional-report/116th-congress/house-report/292/1,"116th Congress (2019-2020)","H.R. 1472","TO RENAME THE HOMESTEAD NATIONAL MONUMENT OF AMERICA NEAR BEATRICE, NEBRASKA, AS THE HOMESTEAD NATIONAL HISTORICAL PARK","House Natural Resources"
"H. Rept. 116-293",https://www.congress.gov/congressional-report/116th-congress/house-report/293/1,"116th Congress (2019-2020)","H.R. 1487","SANTA MONICA MOUNTAINS NATIONAL RECREATION AREA BOUNDARY ADJUSTMENT STUDY ACT","House Natural Resources"
"H. Rept. 116-294",https://www.congress.gov/congressional-report/116th-congress/house-report/294/1,"116th Congress (2019-2020)","H.R. 3541","COASTAL STATE CLIMATE PREPAREDNESS ACT OF 2019","House Natural Resources"
"H. Rept. 116-295",https://www.congress.gov/congressional-report/116th-congress/house-report/295/1,"116th Congress (2019-2020)","H.R. 3596","KEEP AMERICA'S WATERFRONTS WORKING ACT","House Natural Resources"
"H. Rept. 116-296",https://www.congress.gov/congressional-report/116th-congress/house-report/296/1,"116th Congress (2019-2020)","H.R. 1309","WORKPLACE VIOLENCE PREVENTION FOR HEALTH CARE AND SOCIAL SERVICE WORKERS ACT","House Education and Labor"
"H. Rept. 116-297",https://www.congress.gov/congressional-report/116th-congress/house-report/297/1,"116th Congress (2019-2020)","H.Res. 708","PROVIDING FOR CONSIDERATION OF THE SENATE AMENDMENT TO THE BILL (H.R. 3055) MAKING APPROPRIATIONS FOR THE DEPARTMENTS OF COMMERCE AND JUSTICE, SCIENCE, AND RELATED AGENCIES FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2020, AND FOR OTHER PURPOSES","House Rules"
"H. Rept. 116-298",https://www.congress.gov/congressional-report/116th-congress/house-report/298/1,"116th Congress (2019-2020)","H.R. 3469","COVERT TESTING AND RISK MITIGATION IMPROVEMENT ACT OF 2019","House Homeland Security"
"H. Rept. 116-299",https://www.congress.gov/congressional-report/116th-congress/house-report/299/1,"116th Congress (2019-2020)","H.R. 4402","INLAND WATERS SECURITY REVIEW ACT","House Homeland Security"
"H. Rept. 116-300",https://www.congress.gov/congressional-report/116th-congress/house-report/300/1,"116th Congress (2019-2020)","H.R. 4713","DEPARTMENT OF HOMELAND SECURITY OFFICE OF CIVIL RIGHTS AND CIVIL LIBERTIES AUTHORIZATION ACT","House Homeland Security"
"H. Rept. 116-301",https://www.congress.gov/congressional-report/116th-congress/house-report/301/1,"116th Congress (2019-2020)","H.R. 4753","DRONE ORIGIN SECURITY ENHANCEMENT ACT","House Homeland Security"
"H. Rept. 116-302",https://www.congress.gov/congressional-report/116th-congress/house-report/302/1,"116th Congress (2019-2020)","H.Res. 713","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1309) TO DIRECT THE SECRETARY OF LABOR TO ISSUE AN OCCUPATIONAL SAFETY AND HEALTH STANDARD THAT REQUIRES COVERED EMPLOYERS WITHIN THE HEALTH CARE AND SOCIAL SERVICE INDUSTRIES TO DEVELOP AND IMPLEMENT A COMPREHENSIVE WORKPLACE VIOLENCE PREVENTION PLAN, AND FOR OTHER PURPOSES; PROVIDING FOR PROCEEDINGS DURING THE PERIOD FROM NOVEMBER 22, 2019, THROUGH DECEMBER 2, 2019; AND PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES","House Rules"
"H. Rept. 116-303",https://www.congress.gov/congressional-report/116th-congress/house-report/303/1,"116th Congress (2019-2020)","H.R. 370","PIPELINE AND LNG FACILITY CYBERSECURITY PREPAREDNESS ACT","House Energy and Commerce"
"H. Rept. 116-304",https://www.congress.gov/congressional-report/116th-congress/house-report/304/1,"116th Congress (2019-2020)","H.R. 1132","SAN FRANCISCO BAY RESTORATION ACT","House Transportation and Infrastructure"
"H. Rept. 116-305",https://www.congress.gov/congressional-report/116th-congress/house-report/305/1,"116th Congress (2019-2020)","H.R. 3614","RESTRICTING CREDIT CHECKS FOR EMPLOYMENT DECISIONS ACT","House Financial Services"
"H. Rept. 116-306",https://www.congress.gov/congressional-report/116th-congress/house-report/306/1,"116th Congress (2019-2020)","H.R. 3618","FREE CREDIT SCORES FOR CONSUMERS ACT OF 2019","House Financial Services"
"H. Rept. 116-307",https://www.congress.gov/congressional-report/116th-congress/house-report/307/1,"116th Congress (2019-2020)","H.R. 3629","CLARITY IN CREDIT SCORE FORMATION ACT OF 2019","House Financial Services"
"H. Rept. 116-308",https://www.congress.gov/congressional-report/116th-congress/house-report/308/1,"116th Congress (2019-2020)","H.R. 3669","WEATHERIZING INFRASTRUCTURE IN THE NORTH AND TERRORISM EMERGENCY READINESS ACT OF 2019","House Homeland Security"
"H. Rept. 116-309",https://www.congress.gov/congressional-report/116th-congress/house-report/309/1,"116th Congress (2019-2020)","H.R. 4432","PROTECTING CRITICAL INFRASTRUCTURE AGAINST DRONES AND EMERGING THREATS ACT","House Homeland Security"
"H. Rept. 116-310",https://www.congress.gov/congressional-report/116th-congress/house-report/310/1,"116th Congress (2019-2020)","H.R. 4727","DEPARTMENT OF HOMELAND SECURITY MENTOR-PROTEGE PROGRAM ACT OF 2019","House Homeland Security"
"H. Rept. 116-311",https://www.congress.gov/congressional-report/116th-congress/house-report/311/1,"116th Congress (2019-2020)","H.R. 4018","TO PROVIDE THAT THE AMOUNT OF TIME THAT AN ELDERLY OFFENDER MUST SERVE BEFORE BEING ELIGIBLE FOR PLACEMENT IN HOME DETENTION IS TO BE REDUCED BY THE AMOUNT OF GOOD TIME CREDITS EARNED BY THE PRISONER, AND FOR OTHER PURPOSES","House Judiciary"
"H. Rept. 116-312",https://www.congress.gov/congressional-report/116th-congress/house-report/312/1,"116th Congress (2019-2020)","H.R. 2051","SUSTAINABLE CHEMISTRY RESEARCH AND DEVELOPMENT ACT OF 2019","House Science, Space, and Technology"
"H. Rept. 116-313",https://www.congress.gov/congressional-report/116th-congress/house-report/313/1,"116th Congress (2019-2020)","H.R. 4895","CFTC REAUTHORIZATION ACT OF 2019","House Agriculture"
"H. Rept. 116-314",https://www.congress.gov/congressional-report/116th-congress/house-report/314/1,"116th Congress (2019-2020)","H.R. 1747","NATIONAL FISH HABITAT CONSERVATION THROUGH PARTNERSHIPS ACT","House Natural Resources"
"H. Rept. 116-315",https://www.congress.gov/congressional-report/116th-congress/house-report/315/1,"116th Congress (2019-2020)","H.R. 2189","DIGITAL COAST ACT","House Natural Resources"
"H. Rept. 116-316",https://www.congress.gov/congressional-report/116th-congress/house-report/316/1,"116th Congress (2019-2020)","H.R. 3115","LIVING SHORELINES ACT OF 2019","House Natural Resources"
"H. Rept. 116-317",https://www.congress.gov/congressional-report/116th-congress/house-report/317/1,"116th Congress (2019-2020)","H.R. 4","VOTING RIGHTS ADVANCEMENT ACT OF 2019","House Judiciary"
"H. Rept. 116-318",https://www.congress.gov/congressional-report/116th-congress/house-report/318/1,"116th Congress (2019-2020)","H.R. 4739","SYNTHETIC OPIOID EXPOSURE PREVENTION AND TRAINING ACT","House Homeland Security"
"H. Rept. 116-319",https://www.congress.gov/congressional-report/116th-congress/house-report/319/1,"116th Congress (2019-2020)","H.R. 4761","DHS OPIOID DETECTION RESILIENCE ACT OF 2019","House Homeland Security"
"H. Rept. 116-320",https://www.congress.gov/congressional-report/116th-congress/house-report/320/1,"116th Congress (2019-2020)","H.Res. 739","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 2534) TO AMEND THE SECURITIES EXCHANGE ACT OF 1934 TO PROHIBIT CERTAIN SECURITIES TRADING AND RELATED COMMUNICATIONS BY THOSE WHO POSSESS MATERIAL, NONPUBLIC INFORMATION, AND RELATING TO CONSIDERATION OF THE CONCURRENT RESOLUTION (H. CON. RES. 77) DIRECTING THE PRESIDENT PURSUANT TO SECTION 5(C) OF THE WAR POWERS RESOLUTION TO REMOVE UNITED STATES ARMED FORCES FROM HOSTILITIES IN THE SYRIAN ARAB REPUBLIC THAT HAVE NOT BEEN AUTHORIZED BY CONGRESS","House Rules"
"H. Rept. 116-321",https://www.congress.gov/congressional-report/116th-congress/house-report/321/1,"116th Congress (2019-2020)","H.R. 2185","DISTRICT OF COLUMBIA FLOOD PREVENTION ACT OF 2019","House Natural Resources"
