"Downloaded on",04/07/2021,"10:52:09 EDT"
"Search URL",https://www.congress.gov/search?pageSort=numberDesc&q=%7B%22source%22%3A%22comreports%22%2C%22congress%22%3A%22115%22%7D

"Report Number",URL,Congress,Accompanies,Title,Committee
"H. Rept. 115-941",https://www.congress.gov/congressional-report/115th-congress/house-report/941/1,"115th Congress (2017-2018)","H.R. 6348","SMALL BUSINESS ACCESS TO CAPITAL AND EFFICIENCY ACT","House Small Business"
"H. Rept. 115-940",https://www.congress.gov/congressional-report/115th-congress/house-report/940/1,"115th Congress (2017-2018)","H.R. 6347","7(A) REAL ESTATE APPRAISAL HARMONIZATION ACT","House Small Business"
"H. Rept. 115-939",https://www.congress.gov/congressional-report/115th-congress/house-report/939/1,"115th Congress (2017-2018)","H.R. 6330","SMALL BUSINESS RUNWAY EXTENSION ACT OF 2018","House Small Business"
"H. Rept. 115-938",https://www.congress.gov/congressional-report/115th-congress/house-report/938/1,"115th Congress (2017-2018)","H.R. 6316","SMALL BUSINESS ADVOCACY IMPROVEMENTS ACT OF 2018","House Small Business"
"H. Rept. 115-937",https://www.congress.gov/congressional-report/115th-congress/house-report/937/1,"115th Congress (2017-2018)","H.R. 5059","STATE INSURANCE REGULATION PRESERVATION ACT","House Financial Services"
"H. Rept. 115-936",https://www.congress.gov/congressional-report/115th-congress/house-report/936/1,"115th Congress (2017-2018)","H.R. 6690","FIGHTING FRAUD TO PROTECT CARE FOR SENIORS ACT OF 2018","House Ways and Means"
"H. Rept. 115-935",https://www.congress.gov/congressional-report/115th-congress/house-report/935/1,"115th Congress (2017-2018)","H.R. 6662","EMPOWERING SENIORS' ENROLLMENT DECISION ACT OF 2018","House Ways and Means"
"H. Rept. 115-934",https://www.congress.gov/congressional-report/115th-congress/house-report/934/1,"115th Congress (2017-2018)","H.R. 6561","COMPREHENSIVE CARE FOR SENIORS ACT OF 2018","House Ways and Means"
"H. Rept. 115-933",https://www.congress.gov/congressional-report/115th-congress/house-report/933/1,"115th Congress (2017-2018)","H.R. 3635","LOCAL COVERAGE DETERMINATION CLARIFICATION ACT OF 2018","House Ways and Means"
"H. Rept. 115-932",https://www.congress.gov/congressional-report/115th-congress/house-report/932/1,"115th Congress (2017-2018)","H.R. 3309","SOCIAL SECURITY ONLINE TOOLS INNOVATION ACT OF 2018","House Ways and Means"
"H. Rept. 115-931",https://www.congress.gov/congressional-report/115th-congress/house-report/931/1,"115th Congress (2017-2018)","S. 2857","NATIONAL NORDIC MUSEUM ACT","House Natural Resources"
"H. Rept. 115-930",https://www.congress.gov/congressional-report/115th-congress/house-report/930/1,"115th Congress (2017-2018)","H.R. 6287","9/11 MEMORIAL ACT","House Natural Resources"
"H. Rept. 115-929",https://www.congress.gov/congressional-report/115th-congress/house-report/929/1,"115th Congress (2017-2018)","H.R. 5895","ENERGY AND WATER DEVELOPMENT AND RELATED AGENCIES FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2019, AND FOR OTHER PURPOSES",
"H. Rept. 115-928",https://www.congress.gov/congressional-report/115th-congress/house-report/928/1,"115th Congress (2017-2018)","H.R. 3764","LITTLE SHELL TRIBE OF CHIPPEWA INDIANS RESTORATION ACT OF 2018","House Natural Resources"
"H. Rept. 115-927",https://www.congress.gov/congressional-report/115th-congress/house-report/927/1,"115th Congress (2017-2018)","H.R. 5532","RECONSTRUCTION ERA NATIONAL HISTORICAL PARK ACT","House Natural Resources"
"H. Rept. 115-926",https://www.congress.gov/congressional-report/115th-congress/house-report/926/1,"115th Congress (2017-2018)","H.R. 2389","TO REAUTHORIZE THE WEST VALLEY DEMONSTRATION PROJECT, AND FOR OTHER PURPOSES","House Energy and Commerce"
"H. Rept. 115-925",https://www.congress.gov/congressional-report/115th-congress/house-report/925/1,"115th Congress (2017-2018)","H.R. 2278","RESPONSIBLE DISPOSAL REAUTHORIZATION ACT OF 2018","House Energy and Commerce"
"H. Rept. 115-924",https://www.congress.gov/congressional-report/115th-congress/house-report/924/1,"115th Congress (2017-2018)","H.R. 1320","NUCLEAR UTILIZATION OF KEYNOTE ENERGY ACT","House Energy and Commerce"
"H. Rept. 115-923",https://www.congress.gov/congressional-report/115th-congress/house-report/923/1,"115th Congress (2017-2018)","H.R. 6198","COUNTERING WEAPONS OF MASS DESTRUCTION ACT OF 2018","House Homeland Security"
"H. Rept. 115-922",https://www.congress.gov/congressional-report/115th-congress/house-report/922/1,"115th Congress (2017-2018)","H.R. 5923","WALNUT GROVE LAND EXCHANGE ACT","House Natural Resources"
"H. Rept. 115-921",https://www.congress.gov/congressional-report/115th-congress/house-report/921/1,"115th Congress (2017-2018)","H.R. 6088","STREAMLINING PERMITTING EFFICIENCIES IN ENERGY DEVELOPMENT ACT","House Natural Resources"
"H. Rept. 115-920",https://www.congress.gov/congressional-report/115th-congress/house-report/920/1,"115th Congress (2017-2018)","H.Res. 1051","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 6691) TO AMEND TITLE 18, UNITED STATES CODE, TO CLARIFY THE DEFINITION OF ``CRIME OF VIOLENCE'', AND FOR OTHER PURPOSES, AND PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES","House Rules"
"H. Rept. 115-919",https://www.congress.gov/congressional-report/115th-congress/house-report/919/1,"115th Congress (2017-2018)","H.Res. 1049","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1635) TO AMEND THE LOAN COUNSELING REQUIREMENTS UNDER THE HIGHER EDUCATION ACT OF 1965, AND FOR OTHER PURPOSES, AND PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 4606) TO PROVIDE THAT APPLICATIONS UNDER THE NATURAL GAS ACT FOR THE IMPORTATION OR EXPORTATION OF SMALL VOLUMES OF NATURAL GAS SHALL BE GRANTED WITHOUT MODIFICATION OR DELAY","House Rules"
"H. Rept. 115-918",https://www.congress.gov/congressional-report/115th-congress/house-report/918/1,"115th Congress (2017-2018)","H.R. 5869","MARITIME BORDER SECURITY REVIEW ACT","House Homeland Security"
"H. Rept. 115-917",https://www.congress.gov/congressional-report/115th-congress/house-report/917/1,"115th Congress (2017-2018)","H.R. 6461","TSA NATIONAL DEPLOYMENT FORCE ACT","House Homeland Security"
"H. Rept. 115-916",https://www.congress.gov/congressional-report/115th-congress/house-report/916/1,"115th Congress (2017-2018)","H.R. 6459","TSA OPPORTUNITIES TO PURSUE EXPANDED NETWORKS FOR BUSINESS ACT","House Homeland Security"
"H. Rept. 115-915",https://www.congress.gov/congressional-report/115th-congress/house-report/915/1,"115th Congress (2017-2018)","H.R. 6447","DEPARTMENT OF HOMELAND SECURITY CHIEF DATA OFFICER AUTHORIZATION ACT","House Homeland Security"
"H. Rept. 115-914",https://www.congress.gov/congressional-report/115th-congress/house-report/914/1,"115th Congress (2017-2018)","H.R. 6400","UNITED STATES PORTS OF ENTRY THREAT AND OPERATIONAL REVIEW ACT","House Homeland Security"
"H. Rept. 115-913",https://www.congress.gov/congressional-report/115th-congress/house-report/913/1,"115th Congress (2017-2018)","H.R. 6374","FITNESS INFORMATION TRANSPARENCY ACT OF 2018","House Homeland Security"
"H. Rept. 115-912",https://www.congress.gov/congressional-report/115th-congress/house-report/912/1,"115th Congress (2017-2018)","H.R. 6265","PRECHECK IS PRECHECK ACT OF 2018","House Homeland Security"
"H. Rept. 115-911",https://www.congress.gov/congressional-report/115th-congress/house-report/911/1,"115th Congress (2017-2018)","H.R. 6040","CONTRA COSTA CANAL TRANSFER ACT","House Natural Resources"
"H. Rept. 115-910",https://www.congress.gov/congressional-report/115th-congress/house-report/910/1,"115th Congress (2017-2018)","H.R. 6443","ADVANCING CYBERSECURITY DIAGNOSTICS AND MITIGATION ACT","House Homeland Security"
"H. Rept. 115-909",https://www.congress.gov/congressional-report/115th-congress/house-report/909/1,"115th Congress (2017-2018)","H.R. 6439","BIOMETRIC IDENTIFICATION TRANSNATIONAL MIGRATION ALERT PROGRAM AUTHORIZATION ACT OF 2018","House Homeland Security"
"H. Rept. 115-908",https://www.congress.gov/congressional-report/115th-congress/house-report/908/1,"115th Congress (2017-2018)","H.R. 6438","DHS COUNTERING UNMANNED AIRCRAFT SYSTEMS COORDINATOR ACT","House Homeland Security"
"H. Rept. 115-907",https://www.congress.gov/congressional-report/115th-congress/house-report/907/1,"115th Congress (2017-2018)","H.R. 6430","SECURING THE HOMELAND SECURITY SUPPLY CHAIN ACT OF 2018","House Homeland Security"
"H. Rept. 115-906",https://www.congress.gov/congressional-report/115th-congress/house-report/906/1,"115th Congress (2017-2018)","H.R. 4616","EMPLOYER RELIEF ACT OF 2018","House Ways and Means"
"H. Rept. 115-905",https://www.congress.gov/congressional-report/115th-congress/house-report/905/1,"115th Congress (2017-2018)","H.R. 6332","IMPROVING STRATEGIES TO COUNTER WEAPONS PROLIFERATION ACT","House Financial Services"
"H. Rept. 115-904",https://www.congress.gov/congressional-report/115th-congress/house-report/904/1,"115th Congress (2017-2018)","H.R. 5756","TO REQUIRE THE SECURITIES AND EXCHANGE COMMISSION TO ADJUST CERTAIN RESUBMISSION THRESHOLDS FOR SHAREHOLDER PROPOSALS","House Financial Services"
"H. Rept. 115-903",https://www.congress.gov/congressional-report/115th-congress/house-report/903/1,"115th Congress (2017-2018)","H.R. 2319","CONSUMER FINANCIAL CHOICE AND CAPITAL MARKETS PROTECTION ACT OF 2017","House Financial Services"
"H. Rept. 115-902",https://www.congress.gov/congressional-report/115th-congress/house-report/902/1,"115th Congress (2017-2018)","H.R. 2606","STIGLER ACT AMENDMENTS OF 2018","House Natural Resources"
"H. Rept. 115-901",https://www.congress.gov/congressional-report/115th-congress/house-report/901/1,"115th Congress (2017-2018)","H.R. 6039","TO ESTABLISH A PROCEDURE FOR THE CONVEYANCE OF CERTAIN FEDERAL PROPERTY AROUND THE JAMESTOWN RESERVOIR IN THE STATE OF NORTH DAKOTA, AND FOR OTHER PURPOSES","House Natural Resources"
"H. Rept. 115-900",https://www.congress.gov/congressional-report/115th-congress/house-report/900/1,"115th Congress (2017-2018)","H.R. 6038","TO ESTABLISH A PROCEDURE FOR THE CONVEYANCE OF CERTAIN FEDERAL PROPERTY AROUND THE DICKINSON RESERVOIR IN THE STATE OF NORTH DAKOTA","House Natural Resources"
"H. Rept. 115-899",https://www.congress.gov/congressional-report/115th-congress/house-report/899/1,"115th Congress (2017-2018)","H.R. 2591","MODERNIZING THE PITTMAN-ROBERTSON FUND FOR TOMORROW'S NEEDS ACT","House Natural Resources"
"H. Rept. 115-898",https://www.congress.gov/congressional-report/115th-congress/house-report/898/1,"115th Congress (2017-2018)",,"IN THE MATTER OF ALLEGATIONS RELATING TO REPRESENTATIVE MARKWAYNE MULLIN","House Ethics"
"H. Rept. 115-897",https://www.congress.gov/congressional-report/115th-congress/house-report/897/1,"115th Congress (2017-2018)",,"REPORT on the REVISED SUBALLOCATION OF BUDGET ALLOCATIONS FOR FISCAL YEAR 2019 SUBMITTED BY MR. FRELINGHUYSEN, CHAIRMAN, COMMITTEE ON APPROPRIATIONS","House Appropriations"
"H. Rept. 115-896",https://www.congress.gov/congressional-report/115th-congress/house-report/896/1,"115th Congress (2017-2018)","H.R. 5597","DESERT TORTOISE HABITAT CONSERVATION PLAN EXPANSION ACT, WASHINGTON COUNTY, UTAH","House Natural Resources"
"H. Rept. 115-895",https://www.congress.gov/congressional-report/115th-congress/house-report/895/1,"115th Congress (2017-2018)","H.R. 6146","COTTONWOOD LAND EXCHANGE ACT OF 2018","House Natural Resources"
"H. Rept. 115-894",https://www.congress.gov/congressional-report/115th-congress/house-report/894/1,"115th Congress (2017-2018)","H.R. 3857","PROTECTING ADVICE FOR SMALL SAVERS ACT OF 2017","House Financial Services"
"H. Rept. 115-893",https://www.congress.gov/congressional-report/115th-congress/house-report/893/1,"115th Congress (2017-2018)","H.R. 5323","DERIVATIVES FAIRNESS ACT","House Financial Services"
"H. Rept. 115-892",https://www.congress.gov/congressional-report/115th-congress/house-report/892/1,"115th Congress (2017-2018)","H.R. 5082","PRACTICE OF LAW TECHNICAL CLARIFICATION ACT OF 2018","House Financial Services"
"H. Rept. 115-891",https://www.congress.gov/congressional-report/115th-congress/house-report/891/1,"115th Congress (2017-2018)","H.R. 6320","PROMOTING TRANSPARENT STANDARDS FOR CORPORATE INSIDERS ACT","House Financial Services"
"H. Rept. 115-890",https://www.congress.gov/congressional-report/115th-congress/house-report/890/1,"115th Congress (2017-2018)","H.R. 4861","ENSURING QUALITY UNBIASED ACCESS TO LOANS ACT OF 2018","House Financial Services"
"H. Rept. 115-889",https://www.congress.gov/congressional-report/115th-congress/house-report/889/1,"115th Congress (2017-2018)","H.R. 6177","DEVELOPING AND EMPOWERING OUR ASPIRING LEADERS ACT OF 2018","House Financial Services"
"H. Rept. 115-888",https://www.congress.gov/congressional-report/115th-congress/house-report/888/1,"115th Congress (2017-2018)","H.R. 5051","PUBLIC COMPANY REGISTRATION THRESHOLD ACT","House Financial Services"
"H. Rept. 115-887",https://www.congress.gov/congressional-report/115th-congress/house-report/887/1,"115th Congress (2017-2018)","H.R. 6324","MIDDLE MARKET IPO UNDERWRITING COST ACT","House Financial Services"
"H. Rept. 115-886",https://www.congress.gov/congressional-report/115th-congress/house-report/886/1,"115th Congress (2017-2018)","H.R. 6323","NATIONAL SENIOR INVESTOR INITIATIVE ACT OF 2018","House Financial Services"
"H. Rept. 115-885",https://www.congress.gov/congressional-report/115th-congress/house-report/885/1,"115th Congress (2017-2018)","H.R. 1264","COMMUNITY FINANCIAL INSTITUTION EXEMPTION ACT","House Financial Services"
"H. Rept. 115-884",https://www.congress.gov/congressional-report/115th-congress/house-report/884/1,"115th Congress (2017-2018)","H.R. 6321","INVESTMENT ADVISER REGULATORY FLEXIBILITY IMPROVEMENT ACT","House Financial Services"
"H. Rept. 115-883",https://www.congress.gov/congressional-report/115th-congress/house-report/883/1,"115th Congress (2017-2018)","H.R. 3555","EXCHANGE REGULATORY IMPROVEMENT ACT","House Financial Services"
"H. Rept. 115-882",https://www.congress.gov/congressional-report/115th-congress/house-report/882/1,"115th Congress (2017-2018)","H.R. 4659","TO REQUIRE THE APPROPRIATE FEDERAL BANKING AGENCIES TO RECOGNIZE THE EXPOSURE-REDUCING NATURE OF CLIENT MARGIN FOR CLEARED DERIVATIVES","House Financial Services"
"H. Rept. 115-881",https://www.congress.gov/congressional-report/115th-congress/house-report/881/1,"115th Congress (2017-2018)","H.R. 4824","RURAL BROADBAND PERMITTING EFFICIENCY ACT OF 2018","House Natural Resources"
"H. Rept. 115-880",https://www.congress.gov/congressional-report/115th-congress/house-report/880/1,"115th Congress (2017-2018)","H.R. 3186","EVERY KID OUTDOORS ACT","House Natural Resources"
"H. Rept. 115-879",https://www.congress.gov/congressional-report/115th-congress/house-report/879/1,"115th Congress (2017-2018)","H.R. 6322","ENHANCING MULTI-CLASS SHARE DISCLOSURES ACT","House Financial Services"
"H. Rept. 115-878",https://www.congress.gov/congressional-report/115th-congress/house-report/878/1,"115th Congress (2017-2018)","H.R. 6319","EXPANDING INVESTMENT IN SMALL BUSINESSES ACT","House Financial Services"
"H. Rept. 115-877",https://www.congress.gov/congressional-report/115th-congress/house-report/877/1,"115th Congress (2017-2018)","H.Res. 1005","RESOLUTION DIRECTING THE SECRETARY OF HOMELAND SECURITY TO TRANSMIT CERTAIN DOCUMENTS TO THE HOUSE OF REPRESENTATIVES RELATING TO THE BORDER SECURITY POLICIES, PROCEDURES, AND ACTIVITIES AS SUCH RELATE TO THE INTERDICTION OF FAMILIES BY THE U.S. BORDER PATROL BETWEEN PORTS OF ENTRY","House Homeland Security"
"H. Rept. 115-876",https://www.congress.gov/congressional-report/115th-congress/house-report/876/1,"115th Congress (2017-2018)",,"IN THE MATTER OF ALLEGATIONS RELATING TO REPRESENTATIVE PRAMILA JAYAPAL","House Ethics"
"H. Rept. 115-875",https://www.congress.gov/congressional-report/115th-congress/house-report/875/1,"115th Congress (2017-2018)","H.Res. 1027","PROVIDING FOR CONSIDERATION OF THE CONFERENCE REPORT TO ACCOMPANY THE BILL (H.R. 5515) TO AUTHORIZE APPROPRIATIONS FOR FISCAL YEAR 2019 FOR MILITARY ACTIVITIES OF THE DEPARTMENT OF DEFENSE, FOR MILITARY CONSTRUCTION, AND FOR DEFENSE ACTIVITIES OF THE DEPARTMENT OF ENERGY, TO PRESCRIBE MILITARY PERSONNEL STRENGTHS FOR SUCH FISCAL YEAR, AND FOR OTHER PURPOSES","House Rules"
"H. Rept. 115-874",https://www.congress.gov/congressional-report/115th-congress/house-report/874/1,"115th Congress (2017-2018)","H.R. 5515","JOHN S. McCAIN NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2019",
"H. Rept. 115-873",https://www.congress.gov/congressional-report/115th-congress/house-report/873/1,"115th Congress (2017-2018)","H.Res. 1020","WAIVING A REQUIREMENT OF CLAUSE 6(A) OF RULE XIII WITH RESPECT TO CONSIDERATION OF CERTAIN RESOLUTIONS REPORTED FROM THE COMMITTEE ON RULES, AND PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES","House Rules"
"H. Rept. 115-872",https://www.congress.gov/congressional-report/115th-congress/house-report/872/1,"115th Congress (2017-2018)","H.R. 5864","VA HOSPITALS ESTABLISHING LEADERSHIP PERFORMANCE ACT","House Veterans' Affairs"
"H. Rept. 115-871",https://www.congress.gov/congressional-report/115th-congress/house-report/871/1,"115th Congress (2017-2018)","H.R. 5938","VETERANS SERVING VETERANS ACT OF 2018","House Veterans' Affairs"
"H. Rept. 115-870",https://www.congress.gov/congressional-report/115th-congress/house-report/870/1,"115th Congress (2017-2018)","H.R. 5538","AMENDING TITLE 38, UNITED STATES CODE, TO PROVIDE FOR THE INCLUSION OF CERTAIN ADDITIONAL PERIODS OF ACTIVE DUTY SERVICE FOR PURPOSES OF SUSPENDING CHARGES TO VETERANS' ENTITLEMENT TO EDUCATIONAL ASSISTANCE UNDER THE LAWS ADMINISTERED BY THE SECRETARY OF VETERANS AFFAIRS DURING PERIODS OF SUSPENDED PARTICIPATION IN VOCATIONAL REHABILITATION PROGRAMS","House Veterans' Affairs"
"H. Rept. 115-869",https://www.congress.gov/congressional-report/115th-congress/house-report/869/1,"115th Congress (2017-2018)","H.R. 5974","VA COST SAVINGS ENHANCEMENTS ACT","House Veterans' Affairs"
"H. Rept. 115-868",https://www.congress.gov/congressional-report/115th-congress/house-report/868/1,"115th Congress (2017-2018)","H.R. 5693","LONG-TERM CARE VETERANS CHOICE ACT","House Veterans' Affairs"
"H. Rept. 115-867",https://www.congress.gov/congressional-report/115th-congress/house-report/867/1,"115th Congress (2017-2018)","H.R. 2787","VETERANS-SPECIFIC EDUCATION FOR TOMORROW'S HEALTH PROFESSIONALS ACT","House Veterans' Affairs"
"H. Rept. 115-866",https://www.congress.gov/congressional-report/115th-congress/house-report/866/1,"115th Congress (2017-2018)","H.R. 2409","TO ALLOW SERVICEMEMBERS TO TERMINATE THEIR CABLE, SATELLITE TELEVISION, AND INTERNET ACCESS SERVICE CONTRACTS WHILE DEPLOYED","House Veterans' Affairs"
"H. Rept. 115-865",https://www.congress.gov/congressional-report/115th-congress/house-report/865/1,"115th Congress (2017-2018)","H.R. 5882","GOLD STAR SPOUSES LEASING RELIEF ACT","House Veterans' Affairs"
"H. Rept. 115-864",https://www.congress.gov/congressional-report/115th-congress/house-report/864/1,"115th Congress (2017-2018)","H.R. 5649","NAVY SEAL CHIEF PETTY OFFICER WILLIAM ``BILL'' MULDER (RET.) TRANSITION IMPROVEMENT ACT OF 2018","House Veterans' Affairs"
"H. Rept. 115-863",https://www.congress.gov/congressional-report/115th-congress/house-report/863/1,"115th Congress (2017-2018)","H.R. 5515","JOHN S. McCAIN NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2019",
"H. Rept. 115-862",https://www.congress.gov/congressional-report/115th-congress/house-report/862/1,"115th Congress (2017-2018)","H.R. 6470","DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS BILL, 2019","House Appropriations"
"H. Rept. 115-861",https://www.congress.gov/congressional-report/115th-congress/house-report/861/1,"115th Congress (2017-2018)","H.Res. 1012","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 6199) TO AMEND THE INTERNAL REVENUE CODE OF 1986 TO INCLUDE CERTAIN OVER-THE-COUNTER MEDICAL PRODUCTS AS QUALIFIED MEDICAL EXPENSES, AND PROVIDING FOR PROCEEDINGS DURING THE PERIOD FROM JULY 27, 2018, THROUGH SEPTEMBER 3, 2018","House Rules"
"H. Rept. 115-860",https://www.congress.gov/congressional-report/115th-congress/house-report/860/1,"115th Congress (2017-2018)","H.Res. 1011","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 184) TO AMEND THE INTERNAL REVENUE CODE OF 1986 TO REPEAL THE EXCISE TAX ON MEDICAL DEVICES, AND PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 6311) TO AMEND THE INTERNAL REVENUE CODE OF 1986 AND THE PATIENT PROTECTION AND AFFORDABLE CARE ACT TO MODIFY THE DEFINITION OF QUALIFIED HEALTH PLAN FOR PURPOSES OF THE HEALTH INSURANCE PREMIUM TAX CREDIT AND TO ALLOW INDIVIDUALS PURCHASING HEALTH INSURANCE IN THE INDIVIDUAL MARKET TO PURCHASE A LOWER PREMIUM COPPER PLAN","House Rules"
"H. Rept. 115-859",https://www.congress.gov/congressional-report/115th-congress/house-report/859/1,"115th Congress (2017-2018)","H.R. 1689","PRIVATE PROPERTY RIGHTS PROTECTION ACT OF 2017","House Judiciary"
"H. Rept. 115-858",https://www.congress.gov/congressional-report/115th-congress/house-report/858/1,"115th Congress (2017-2018)","H.R. 5954","ANTI-TERRORISM CLARIFICATION ACT OF 2018","House Judiciary"
"H. Rept. 115-857",https://www.congress.gov/congressional-report/115th-congress/house-report/857/1,"115th Congress (2017-2018)","H.R. 519","WATER AND AGRICULTURE TAX REFORM ACT OF 2018","House Ways and Means"
"H. Rept. 115-856",https://www.congress.gov/congressional-report/115th-congress/house-report/856/1,"115th Congress (2017-2018)","H.R. 5613","QUINDARO TOWNSITE NATIONAL COMMEMORATIVE SITE ACT","House Natural Resources"
"H. Rept. 115-855",https://www.congress.gov/congressional-report/115th-congress/house-report/855/1,"115th Congress (2017-2018)","H.R. 5979","MILL SPRINGS BATTLEFIELD NATIONAL MONUMENT ACT","House Natural Resources"
"H. Rept. 115-854",https://www.congress.gov/congressional-report/115th-congress/house-report/854/1,"115th Congress (2017-2018)","H.R. 6077","NATIONAL COMEDY CENTER RECOGNITION ACT","House Natural Resources"
"H. Rept. 115-853",https://www.congress.gov/congressional-report/115th-congress/house-report/853/1,"115th Congress (2017-2018)","H.R. 6313","THE ``RESPONSIBLE ADDITIONS AND INCREASES TO SUSTAIN EMPLOYEE HEALTH BENEFITS ACT OF 2018''","House Ways and Means"
"H. Rept. 115-852",https://www.congress.gov/congressional-report/115th-congress/house-report/852/1,"115th Congress (2017-2018)","H.R. 6317","THE ``PRIMARY CARE ENHANCEMENT ACT OF 2018''","House Ways and Means"
"H. Rept. 115-851",https://www.congress.gov/congressional-report/115th-congress/house-report/851/1,"115th Congress (2017-2018)","H.R. 6309","THE ``ALLOWING WORKING SENIORS TO KEEP THEIR HEALTH SAVINGS ACCOUNT ACT OF 2018''","House Ways and Means"
"H. Rept. 115-850",https://www.congress.gov/congressional-report/115th-congress/house-report/850/1,"115th Congress (2017-2018)","H.R. 6199","THE ``RESTORING ACCESS TO MEDICATION ACT OF 2018''","House Ways and Means"
"H. Rept. 115-849",https://www.congress.gov/congressional-report/115th-congress/house-report/849/1,"115th Congress (2017-2018)","H.R. 6311","THE ``INCREASING ACCESS TO LOWER PREMIUM PLANS ACT OF 2018''","House Ways and Means"
"H. Rept. 115-848",https://www.congress.gov/congressional-report/115th-congress/house-report/848/1,"115th Congress (2017-2018)","H.R. 6314","THE ``HEALTH SAVINGS ACT OF 2018''","House Ways and Means"
"H. Rept. 115-847",https://www.congress.gov/congressional-report/115th-congress/house-report/847/1,"115th Congress (2017-2018)","H.R. 6306","THE ``HEALTH CARE SECURITY ACT OF 2018''","House Ways and Means"
"H. Rept. 115-846",https://www.congress.gov/congressional-report/115th-congress/house-report/846/1,"115th Congress (2017-2018)","H.R. 6312","THE ``PERSONAL HEALTH INVESTMENT TODAY ACT'' OR THE ``PHIT ACT''","House Ways and Means"
"H. Rept. 115-845",https://www.congress.gov/congressional-report/115th-congress/house-report/845/1,"115th Congress (2017-2018)","H.R. 6301","THE ``PROMOTING HIGH-VALUE HEALTH CARE THROUGH FLEXIBILITY FOR HIGH DEDUCTIBLE HEALTH PLANS ACT OF 2018''","House Ways and Means"
"H. Rept. 115-844",https://www.congress.gov/congressional-report/115th-congress/house-report/844/1,"115th Congress (2017-2018)","H.R. 6305","THE ``BIPARTISAN HSA IMPROVEMENT ACT OF 2018''","House Ways and Means"
"H. Rept. 115-843",https://www.congress.gov/congressional-report/115th-congress/house-report/843/1,"115th Congress (2017-2018)","H.R. 5709","PREVENTING ILLEGAL RADIO ABUSE THROUGH ENFORCEMENT ACT","House Energy and Commerce"
"H. Rept. 115-842",https://www.congress.gov/congressional-report/115th-congress/house-report/842/1,"115th Congress (2017-2018)","H.R. 4606","ENSURING SMALL SCALE LNG CERTAINTY AND ACCESS ACT","House Energy and Commerce"
"H. Rept. 115-841",https://www.congress.gov/congressional-report/115th-congress/house-report/841/1,"115th Congress (2017-2018)","H.R. 3994","ADVANCING CRITICAL CONNECTIVITY EXPANDS SERVICE, SMALL BUSINESS RESOURCES, OPPORTUNITIES, ACCESS, AND DATA BASED ON ASSESSED NEED AND DEMAND ACT","House Energy and Commerce"
"H. Rept. 115-840",https://www.congress.gov/congressional-report/115th-congress/house-report/840/1,"115th Congress (2017-2018)","H.R. 3045","EASTERN LEGACY EXTENSION ACT","House Natural Resources"
"H. Rept. 115-839",https://www.congress.gov/congressional-report/115th-congress/house-report/839/1,"115th Congress (2017-2018)","H.R. 577","TO DESIGNATE A PEAK IN THE STATE OF NEVADA AS MAUDE FRAZIER MOUNTAIN","House Natural Resources"
"H. Rept. 115-838",https://www.congress.gov/congressional-report/115th-congress/house-report/838/1,"115th Congress (2017-2018)","H.R. 3916","FEDERALLY INTEGRATED SPECIES HEALTH ACT","House Natural Resources"
"H. Rept. 115-837",https://www.congress.gov/congressional-report/115th-congress/house-report/837/1,"115th Congress (2017-2018)","H.R. 4881","PRECISION AGRICULTURE CONNECTIVITY ACT OF 2018","House Energy and Commerce"
"H. Rept. 115-836",https://www.congress.gov/congressional-report/115th-congress/house-report/836/1,"115th Congress (2017-2018)","H.R. 2345","NATIONAL SUICIDE HOTLINE IMPROVEMENT ACT OF 2018","House Energy and Commerce"
"H. Rept. 115-835",https://www.congress.gov/congressional-report/115th-congress/house-report/835/1,"115th Congress (2017-2018)","H.Res. 982","RESOLUTION OF INQUIRY REQUESTING THE PRESIDENT, AND DIRECTING THE SECRETARY OF HEALTH AND HUMAN SERVICES, TO TRANSMIT, RESPECTIVELY, CERTAIN INFORMATION TO THE HOUSE OF REPRESENTATIVES REFERRING TO THE SEPARATION OF CHILDREN FROM THEIR PARENTS OR GUARDIANS AS A RESULT OF THE PRESIDENT'S ``ZERO TOLERANCE'' POLICY","House Energy and Commerce"
"H. Rept. 115-834",https://www.congress.gov/congressional-report/115th-congress/house-report/834/1,"115th Congress (2017-2018)","H.Res. 1001","PROVIDING FOR CONSIDERATION OF THE CONCURRENT RESOLUTION (H. CON. RES. 119) EXPRESSING THE SENSE OF CONGRESS THAT A CARBON TAX WOULD BE DETRIMENTAL TO THE UNITED STATES ECONOMY","House Rules"
